block,height,length,area,eccen,pblock,psmooth,meantr,totalb,totals,trans
h_line,1,17,17,17,0.765,1,3.25,13,17,4
h_line,1,8,8,8,1,1,8,8,8,1
h_line,2,69,138,34.5,0.623,0.906,10.75,86,125,8
h_line,2,46,92,23,0.587,0.761,18,54,70,3
h_line,1,57,57,57,0.456,1,3.71,26,57,7
h_line,1,10,10,10,0.9,1,9,9,10,1
h_line,2,116,232,58,0.616,0.802,17.88,143,186,8
h_line,2,17,34,8.5,0.588,0.971,6.67,20,33,3
h_line,1,43,43,43,0.907,1,9.75,39,43,4
h_line,10,2,20,0.2,0.55,0.6,11,11,12,1
h_line,2,112,224,56,0.496,0.504,55.5,111,113,2
h_line,1,45,45,45,0.756,1,5.67,34,45,6
h_line,1,75,75,75,0.813,1,5.55,61,75,11
h_line,2,157,314,78.5,0.506,0.551,26.5,159,173,6
h_line,1,32,32,32,0.719,1,5.75,23,32,4
h_line,1,52,52,52,0.788,1,10.25,41,52,4
h_line,1,13,13,13,0.692,1,4.5,9,13,2
h_line,2,123,246,61.5,0.5,0.504,123,123,124,1
h_line,1,36,36,36,0.722,1,8.67,26,36,3
h_line,1,19,19,19,0.789,1,3.75,15,19,4
h_line,1,9,9,9,0.778,1,7,7,9,1
h_line,2,446,892,223,0.439,0.603,17.82,392,538,22
h_line,2,236,472,118,0.566,0.689,10.27,267,325,26
h_line,1,61,61,61,1,1,61,61,61,1
h_line,3,213,639,71,0.318,0.379,11.94,203,242,17
h_line,1,152,152,152,0.822,1,11.36,125,152,11
h_line,1,51,51,51,0.471,1,2.4,24,51,10
h_line,19,462,8778,24.316,0.523,0.688,16.88,4591,6035,272
h_line,1,52,52,52,0.981,1,51,51,52,1
h_line,1,52,52,52,0.538,1,14,28,52,2
h_line,1,33,33,33,1,1,33,33,33,1
h_line,1,124,124,124,0.444,1,7.86,55,124,7
h_line,1,75,75,75,0.92,1,11.5,69,75,6
h_line,1,8,8,8,0.875,1,7,7,8,1
h_line,1,40,40,40,1,1,40,40,40,1
h_line,1,55,55,55,0.564,1,10.33,31,55,3
h_line,1,115,115,115,0.2,1,4.6,23,115,5
h_line,1,11,11,11,1,1,11,11,11,1
h_line,1,46,46,46,0.783,1,12,36,46,3
h_line,2,64,128,32,0.531,0.586,17,68,75,4
h_line,4,115,460,28.75,0.426,0.487,17.82,196,224,11
h_line,1,48,48,48,0.875,1,10.5,42,48,4
h_line,1,29,29,29,0.586,1,2.13,17,29,8
h_line,1,17,17,17,0.412,1,1.75,7,17,4
h_line,28,330,9240,11.786,0.057,0.066,31,527,614,17
h_line,3,286,858,95.333,0.406,0.427,87,348,366,4
h_line,1,18,18,18,0.944,1,17,17,18,1
h_line,1,7,7,7,1,1,7,7,7,1
h_line,1,117,117,117,0.393,1,5.75,46,117,8
h_line,1,77,77,77,0.403,1,5.17,31,77,6
h_line,1,40,40,40,0.875,1,11.67,35,40,3
h_line,1,28,28,28,0.964,1,27,27,28,1
h_line,1,35,35,35,0.829,1,9.67,29,35,3
h_line,1,14,14,14,0.571,1,2,8,14,4
h_line,1,23,23,23,0.826,1,19,19,23,1
h_line,1,19,19,19,0.684,1,4.33,13,19,3
h_line,1,79,79,79,0.608,1,6.86,48,79,7
h_line,1,11,11,11,0.727,1,4,8,11,2
h_line,1,98,98,98,0.939,1,30.67,92,98,3
h_line,1,13,13,13,0.692,1,3,9,13,3
h_line,1,17,17,17,0.824,1,4.67,14,17,3
h_line,1,15,15,15,0.867,1,6.5,13,15,2
h_line,9,13,117,1.444,0.103,0.752,4,12,88,3
h_line,6,7,42,1.167,0.238,0.69,10,10,29,1
h_line,1,37,37,37,0.811,1,6,30,37,5
h_line,1,46,46,46,0.239,1,1.38,11,46,8
h_line,1,42,42,42,0.31,1,2.6,13,42,5
h_line,2,176,352,88,0.528,0.605,31,186,213,6
h_line,1,17,17,17,0.882,1,7.5,15,17,2
h_line,1,39,39,39,0.897,1,8.75,35,39,4
h_line,1,44,44,44,0.909,1,20,40,44,2
h_line,1,14,14,14,0.929,1,13,13,14,1
h_line,1,36,36,36,0.583,1,4.2,21,36,5
h_line,1,17,17,17,0.765,1,6.5,13,17,2
h_line,2,14,28,7,0.286,0.821,8,8,23,1
h_line,3,183,549,61,0.488,0.577,29.78,268,317,9
h_line,1,29,29,29,1,1,29,29,29,1
h_line,1,14,14,14,0.929,1,13,13,14,1
h_line,1,45,45,45,0.933,1,21,42,45,2
h_line,25,300,7500,12,0.065,0.071,40.33,484,531,12
h_line,2,50,100,25,0.46,0.51,15.33,46,51,3
h_line,2,204,408,102,0.412,0.681,10.5,168,278,16
h_line,1,35,35,35,0.857,1,10,30,35,3
h_line,6,142,852,23.667,0.115,0.173,6.53,98,147,15
h_line,1,14,14,14,0.857,1,12,12,14,1
h_line,1,69,69,69,0.841,1,8.29,58,69,7
h_line,1,148,148,148,0.959,1,47.33,142,148,3
h_line,1,84,84,84,0.917,1,19.25,77,84,4
h_line,1,73,73,73,0.616,1,3.75,45,73,12
h_line,21,2,42,0.095,0.738,0.738,31,31,31,1
h_line,1,147,147,147,0.864,1,11.55,127,147,11
h_line,1,17,17,17,0.941,1,16,16,17,1
h_line,2,6,12,3,0.667,1,4,8,12,2
h_line,3,54,162,18,0.364,0.519,8.43,59,84,7
h_line,3,11,33,3.667,0.364,0.667,3,12,22,4
h_line,3,304,912,101.33,0.555,0.686,42.17,506,626,12
h_line,3,259,777,86.333,0.411,0.481,13.29,319,374,24
h_line,5,333,1665,66.6,0.374,0.413,36.65,623,688,17
h_line,2,6,12,3,0.667,1,4,8,12,2
h_line,2,49,98,24.5,0.51,0.51,50,50,50,1
h_line,1,114,114,114,0.939,1,21.4,107,114,5
h_line,1,41,41,41,0.927,1,12.67,38,41,3
h_line,1,33,33,33,0.667,1,3.67,22,33,6
h_line,1,106,106,106,0.858,1,15.17,91,106,6
h_line,1,27,27,27,0.407,1,1.83,11,27,6
h_line,1,41,41,41,0.78,1,4.57,32,41,7
h_line,1,22,22,22,0.5,1,1.83,11,22,6
h_line,1,65,65,65,0.646,1,3,42,65,14
h_line,7,46,322,6.571,0.177,0.304,8.14,57,98,7
h_line,2,9,18,4.5,0.556,0.556,10,10,10,1
h_line,2,46,92,23,0.511,0.554,47,47,51,1
h_line,1,127,127,127,0.646,1,13.67,82,127,6
h_line,1,13,13,13,0.846,1,5.5,11,13,2
h_line,3,129,387,43,0.305,0.377,11.8,118,146,10
h_line,5,7,35,1.4,0.2,0.314,7,7,11,1
h_line,6,47,282,7.833,0.202,0.202,57,57,57,1
h_line,4,19,76,4.75,0.276,0.382,5.25,21,29,4
h_line,1,47,47,47,1,1,47,47,47,1
h_line,1,86,86,86,0.93,1,40,80,86,2
h_line,1,17,17,17,1,1,17,17,17,1
h_line,1,19,19,19,0.737,1,4.67,14,19,3
h_line,6,21,126,3.5,0.246,0.254,31,31,32,1
h_line,8,16,128,2,0.398,0.695,2.55,51,89,20
h_line,2,14,28,7,0.464,0.536,13,13,15,1
h_line,2,536,1072,268,0.505,0.512,180.33,541,549,3
h_line,2,536,1072,268,0.538,0.737,30.37,577,790,19
h_line,2,535,1070,267.5,0.564,0.614,40.2,603,657,15
h_line,2,536,1072,268,0.537,0.622,24,576,667,24
h_line,2,536,1072,268,0.498,0.533,41.08,534,571,13
h_line,2,535,1070,267.5,0.648,0.92,11.75,693,984,59
h_line,2,536,1072,268,0.532,0.558,30,570,598,19
h_line,2,535,1070,267.5,0.545,0.629,24.29,583,673,24
h_line,3,536,1608,178.67,0.341,0.353,61,549,567,9
h_line,3,470,1410,156.67,0.352,0.387,23.62,496,545,21
h_line,2,64,128,32,0.43,0.602,3.93,55,77,14
h_line,1,277,277,277,1,1,277,277,277,1
h_line,1,257,257,257,1,1,257,257,257,1
h_line,2,537,1074,268.5,0.507,0.528,181.33,544,567,3
h_line,2,537,1074,268.5,0.594,0.655,21.27,638,703,30
h_line,3,537,1611,179,0.345,0.405,22.24,556,652,25
h_line,2,537,1074,268.5,0.51,0.534,49.82,548,574,11
h_line,2,98,196,49,0.48,0.653,9.4,94,128,10
h_line,2,415,830,207.5,0.505,0.578,16.76,419,480,25
h_line,2,63,126,31.5,0.341,0.508,10.75,43,64,4
h_line,2,475,950,237.5,0.504,0.544,95.8,479,517,5
h_line,2,99,198,49.5,0.253,0.616,4.55,50,122,11
h_line,2,537,1074,268.5,0.52,0.621,26.57,558,667,21
h_line,1,537,537,537,1,1,537,537,537,1
h_line,1,63,63,63,1,1,63,63,63,1
h_line,1,186,186,186,0.828,1,9.06,154,186,17
h_line,1,214,214,214,1,1,214,214,214,1
h_line,1,62,62,62,0.984,1,61,61,62,1
h_line,1,148,148,148,0.986,1,73,146,148,2
h_line,1,278,278,278,0.946,1,29.22,263,278,9
h_line,1,26,26,26,1,1,26,26,26,1
h_line,1,13,13,13,1,1,13,13,13,1
h_line,1,145,145,145,0.972,1,35.25,141,145,4
h_line,1,36,36,36,0.306,1,1.83,11,36,6
h_line,1,81,81,81,0.901,1,24.33,73,81,3
h_line,1,187,187,187,0.963,1,25.71,180,187,7
h_line,2,538,1076,269,0.519,0.684,34.88,558,736,16
h_line,2,538,1076,269,0.637,0.703,29.78,685,756,23
h_line,2,537,1074,268.5,0.538,0.555,82.57,578,596,7
h_line,3,538,1614,179.33,0.37,0.424,22.11,597,685,27
h_line,3,537,1611,179,0.353,0.364,71.13,569,587,8
h_line,2,537,1074,268.5,0.621,0.747,16.68,667,802,40
h_line,2,537,1074,268.5,0.538,0.594,32.11,578,638,18
h_line,2,537,1074,268.5,0.556,0.655,24.88,597,704,24
h_line,2,537,1074,268.5,0.537,0.609,22.19,577,654,26
h_line,2,538,1076,269,0.518,0.596,29.32,557,641,19
h_line,2,537,1074,268.5,0.523,0.567,62.44,562,609,9
h_line,2,535,1070,267.5,0.55,0.586,117.8,589,627,5
h_line,3,500,1500,166.67,0.373,0.421,19.28,559,632,29
h_line,2,32,64,16,0.516,0.531,33,33,34,1
h_line,2,536,1072,268,0.568,0.688,24.36,609,737,25
h_line,2,536,1072,268,0.586,0.686,21.66,628,735,29
h_line,6,39,234,6.5,0.192,0.197,45,45,46,1
h_line,12,278,3336,23.167,0.11,0.144,15.91,366,479,23
h_line,1,22,22,22,0.955,1,21,21,22,1
h_line,1,54,54,54,0.944,1,17,51,54,3
h_line,1,16,16,16,1,1,16,16,16,1
h_line,1,413,413,413,0.998,1,412,412,413,1
h_line,1,15,15,15,0.867,1,13,13,15,1
h_line,1,180,180,180,0.983,1,88.5,177,180,2
h_line,1,22,22,22,0.818,1,4.5,18,22,4
h_line,1,11,11,11,1,1,11,11,11,1
h_line,1,7,7,7,1,1,7,7,7,1
h_line,1,10,10,10,0.8,1,4,8,10,2
h_line,37,1,37,0.027,1,1,37,37,37,1
h_line,1,379,379,379,0.963,1,60.83,365,379,6
h_line,1,14,14,14,0.643,1,3,9,14,3
h_line,2,16,32,8,0.25,0.531,2.67,8,17,3
h_line,1,19,19,19,0.579,1,3.67,11,19,3
h_line,1,136,136,136,0.963,1,32.75,131,136,4
h_line,1,11,11,11,0.909,1,10,10,11,1
h_line,1,12,12,12,0.75,1,9,9,12,1
h_line,1,14,14,14,0.643,1,4.5,9,14,2
h_line,1,15,15,15,0.733,1,3.67,11,15,3
h_line,1,14,14,14,1,1,14,14,14,1
h_line,1,104,104,104,0.971,1,50.5,101,104,2
h_line,1,29,29,29,0.931,1,13.5,27,29,2
h_line,1,78,78,78,0.949,1,24.67,74,78,3
h_line,4,9,36,2.25,0.611,0.611,22,22,22,1
h_line,1,36,36,36,0.583,1,5.25,21,36,4
h_line,1,18,18,18,0.5,1,3,9,18,3
h_line,1,117,117,117,0.974,1,38,114,117,3
h_line,1,47,47,47,0.532,1,25,25,47,1
h_line,7,1,7,0.143,1,1,7,7,7,1
h_line,1,52,52,52,0.962,1,25,50,52,2
h_line,25,169,4225,6.76,0.215,0.947,1.57,907,4000,579
h_line,1,27,27,27,0.259,1,1.4,7,27,5
h_line,1,39,39,39,0.308,1,1.71,12,39,7
h_line,1,34,34,34,0.353,1,1.71,12,34,7
h_line,3,106,318,35.333,0.258,0.34,6.31,82,108,13
h_line,1,28,28,28,0.536,1,3,15,28,5
h_line,1,255,255,255,0.686,1,4.86,175,255,36
h_line,1,10,10,10,1,1,10,10,10,1
h_line,1,9,9,9,0.889,1,8,8,9,1
h_line,1,19,19,19,0.632,1,4,12,19,3
h_line,1,44,44,44,0.727,1,5.33,32,44,6
h_line,1,14,14,14,1,1,14,14,14,1
h_line,1,30,30,30,0.4,1,2.4,12,30,5
h_line,1,94,94,94,0.564,1,3.31,53,94,16
h_line,1,193,193,193,0.57,1,2.97,110,193,37
h_line,1,159,159,159,0.975,1,77.5,155,159,2
h_line,1,32,32,32,0.469,1,1.88,15,32,8
h_line,7,14,98,2,0.102,0.204,10,10,20,1
h_line,1,15,15,15,0.533,1,2,8,15,4
h_line,1,63,63,63,0.587,1,2.31,37,63,16
h_line,1,42,42,42,0.19,1,1.6,8,42,5
h_line,1,28,28,28,0.464,1,2.17,13,28,6
h_line,1,23,23,23,0.348,1,1.6,8,23,5
h_line,1,14,14,14,0.5,1,2.33,7,14,3
h_line,1,45,45,45,0.244,1,1.38,11,45,8
h_line,24,510,12240,21.25,0.846,0.927,38.65,10359,11341,268
h_line,3,541,1623,180.33,0.71,0.747,88.62,1152,1213,13
h_line,4,108,432,27,0.778,0.826,56,336,357,6
h_line,1,20,20,20,0.75,1,3,15,20,5
h_line,11,252,2772,22.909,0.092,0.095,63.75,255,262,4
h_line,1,63,63,63,0.952,1,20,60,63,3
h_line,1,76,76,76,0.961,1,36.5,73,76,2
h_line,1,102,102,102,0.961,1,24.5,98,102,4
h_line,5,128,640,25.6,0.759,0.764,162,486,489,3
h_line,5,280,1400,56,0.78,0.786,156,1092,1100,7
h_line,11,427,4697,38.818,0.566,0.57,189.79,2657,2676,14
h_line,5,110,550,22,0.547,0.556,100.33,301,306,3
h_line,11,552,6072,50.182,0.816,0.816,4955,4955,4955,1
h_line,1,283,283,283,0.993,1,140.5,281,283,2
h_line,1,184,184,184,0.967,1,44.5,178,184,4
h_line,1,16,16,16,0.938,1,15,15,16,1
h_line,3,550,1650,183.33,0.329,0.375,27.15,543,619,20
h_line,1,235,235,235,0.923,1,27.13,217,235,8
h_line,1,58,58,58,0.845,1,9.8,49,58,5
h_line,1,12,12,12,0.667,1,4,8,12,2
h_line,1,69,69,69,0.667,1,4.18,46,69,11
h_line,1,107,107,107,0.869,1,18.6,93,107,5
h_line,3,550,1650,183.33,0.339,0.401,15.11,559,662,37
h_line,3,463,1389,154.33,0.296,0.382,13.7,411,531,30
h_line,1,85,85,85,0.882,1,12.5,75,85,6
h_line,1,8,8,8,1,1,8,8,8,1
h_line,3,544,1632,181.33,0.326,0.406,16.12,532,662,33
h_line,1,17,17,17,1,1,17,17,17,1
h_line,1,206,206,206,0.99,1,204,204,206,1
h_line,2,325,650,162.5,0.485,0.537,28.64,315,349,11
h_line,1,8,8,8,1,1,8,8,8,1
h_line,1,17,17,17,1,1,17,17,17,1
h_line,1,277,277,277,0.993,1,137.5,275,277,2
h_line,1,199,199,199,0.945,1,37.6,188,199,5
h_line,10,553,5530,55.3,0.797,0.884,21.3,4409,4890,207
h_line,3,259,777,86.333,0.96,0.978,67.82,746,760,11
h_line,1,34,34,34,0.471,1,1.07,16,34,15
h_line,2,100,200,50,0.46,0.505,11.5,92,101,8
h_line,2,52,104,26,0.231,0.529,1.5,24,55,16
h_line,1,161,161,161,0.41,1,1.02,66,161,65
h_line,1,71,71,71,0.521,1,2.31,37,71,16
h_line,1,20,20,20,0.55,1,1.38,11,20,8
h_line,1,172,172,172,0.465,1,1.04,80,172,77
h_line,1,106,106,106,0.434,1,1.02,46,106,45
h_line,1,288,288,288,0.424,1,1.02,122,288,120
h_line,1,8,8,8,1,1,8,8,8,1
h_line,1,95,95,95,1,1,95,95,95,1
h_line,1,67,67,67,0.985,1,66,66,67,1
h_line,1,10,10,10,1,1,10,10,10,1
h_line,17,341,5797,20.059,0.935,0.998,36.38,5420,5784,149
h_line,1,138,138,138,1,1,138,138,138,1
h_line,17,342,5814,20.118,0.916,0.996,30.27,5328,5790,176
h_line,1,126,126,126,0.992,1,125,125,126,1
h_line,18,342,6156,19,0.847,0.897,43.48,5217,5522,120
h_line,2,25,50,12.5,0.36,1,4.5,18,50,4
h_line,2,24,48,12,0.354,1,3.4,17,48,5
h_line,2,21,42,10.5,0.452,1,6.33,19,42,3
h_line,2,22,44,11,0.477,1,21,21,44,1
h_line,1,196,196,196,0.98,1,64,192,196,3
h_line,2,199,398,99.5,0.485,0.508,32.17,193,202,6
h_line,1,159,159,159,0.994,1,158,158,159,1
h_line,1,199,199,199,0.99,1,197,197,199,1
h_line,8,231,1848,28.875,0.872,0.882,179,1611,1630,9
h_line,1,70,70,70,1,1,70,70,70,1
h_line,1,14,14,14,1,1,14,14,14,1
h_line,1,70,70,70,0.943,1,22,66,70,3
h_line,1,9,9,9,1,1,9,9,9,1
h_line,1,131,131,131,0.977,1,64,128,131,2
h_line,2,62,124,31,0.452,0.565,11.2,56,70,5
h_line,1,20,20,20,0.85,1,8.5,17,20,2
h_line,1,87,87,87,0.92,1,16,80,87,5
graphic,28,31,868,1.107,0.492,0.745,7.49,427,647,57
graphic,28,32,896,1.143,0.481,0.742,7.43,431,665,58
graphic,29,31,899,1.069,0.463,0.726,6.93,416,653,60
graphic,28,32,896,1.143,0.488,0.743,7.05,437,666,62
graphic,28,32,896,1.143,0.462,0.722,7.02,414,647,59
graphic,28,31,868,1.107,0.508,0.767,7.47,441,666,59
graphic,29,32,928,1.103,0.476,0.72,7.25,442,668,61
graphic,29,32,928,1.103,0.432,0.689,6.27,401,639,64
graphic,153,158,24174,1.033,0.587,0.641,46.95,14180,15491,302
graphic,83,149,12367,1.795,0.388,0.472,28.77,4804,5838,167
graphic,95,93,8835,0.979,0.675,0.902,3.63,5966,7968,1644
graphic,93,104,9672,1.118,0.451,0.611,4.25,4366,5908,1028
graphic,168,145,24360,0.863,0.798,0.963,13.06,19430,23457,1488
graphic,187,137,25619,0.733,0.899,0.991,29.29,23025,25400,786
graphic,132,547,72204,4.144,0.37,0.483,20.66,26693,34874,1292
graphic,178,140,24920,0.787,0.574,0.649,21.52,14292,16177,664
graphic,128,347,44416,2.711,0.399,0.567,13.07,17721,25163,1356
graphic,168,135,22680,0.804,0.82,0.904,62.81,18591,20513,296
graphic,166,472,78352,2.843,0.359,0.547,17.12,28093,42821,1641
graphic,174,471,81954,2.707,0.339,0.433,15.84,27820,35499,1756
graphic,72,96,6912,1.333,0.488,0.582,15.69,3374,4025,215
graphic,163,161,26243,0.988,0.523,0.897,8.4,13725,23547,1634
graphic,186,469,87234,2.522,0.378,0.529,22.29,33017,46133,1481
graphic,187,141,26367,0.754,0.415,0.884,4.69,10947,23301,2333
graphic,64,73,4672,1.141,0.403,0.445,72.38,1882,2077,26
graphic,63,66,4158,1.048,0.491,0.591,44.37,2041,2458,46
graphic,65,50,3250,0.769,0.454,0.487,245.83,1475,1582,6
graphic,63,79,4977,1.254,0.338,0.345,186.78,1681,1718,9
v_line,98,3,294,0.031,0.48,0.486,141,141,143,1
v_line,19,2,38,0.105,0.816,0.816,31,31,31,1
v_line,5,2,10,0.4,0.8,0.8,8,8,8,1
v_line,94,2,188,0.021,0.516,0.516,97,97,97,1
v_line,4,2,8,0.5,0.875,0.875,7,7,7,1
v_line,66,3,198,0.045,0.657,0.909,2.6,130,180,50
v_line,93,4,372,0.043,0.419,0.565,2.89,156,210,54
v_line,44,3,132,0.068,0.598,0.841,2.47,79,111,32
v_line,42,7,294,0.167,0.282,0.432,2.18,83,127,38
